nb_ville,type_modification_temperature,type_mutation,temperature_initiale,temperature_finale,alpha,amplitude,max_repetition,temperature_fin_exec,cout,temps_execution
30,1,3,1380,0.015,0.978,4,2188,0.015,46.37,1.784
30,1,2,1622,0.016,0.934,7,1532,0.016,47.6,0.235
30,1,1,4068,0.019,0.974,3,1508,0.019,49.31,0.508
30,1,2,4465,0.012,0.946,7,1677,0.011,47.43,0.37
30,1,1,4557,0.019,0.953,3,1373,0.018,53.67,0.295
30,1,2,4472,0.015,0.861,6,828,0.013,51.7,0.122
30,1,1,3890,0.013,0.997,3,1317,0.013,46.37,4.608
30,1,1,4297,0.02,0.962,4,1530,0.02,52.69,0.471
30,1,3,1495,0.013,0.96,5,1985,0.013,46.37,1.055
30,1,2,2430,0.016,0.999,5,1446,0.016,46.37,15.817
30,1,2,3833,0.012,0.857,5,1776,0.01,49.49,0.156
30,1,3,1869,0.018,0.861,5,1464,0.016,49.34,0.239
30,1,2,4566,0.018,0.889,7,1057,0.018,55.15,0.144
30,1,3,1496,0.017,0.92,5,2401,0.016,46.37,0.624
30,1,2,4365,0.018,0.879,4,1179,0.016,51.71,0.155
30,1,1,3992,0.015,0.926,4,1201,0.014,48.44,0.228
30,1,3,2640,0.018,0.894,5,1448,0.016,47.02,0.348
30,1,1,4318,0.013,0.865,3,1241,0.012,55.09,0.091
30,1,1,3349,0.012,0.969,5,1005,0.012,53.51,0.368
30,1,1,2641,0.02,0.861,3,2305,0.019,52.8,0.152
30,1,3,4507,0.013,0.852,3,246,0.012,59.72,0.085
30,1,2,1730,0.017,0.869,4,375,0.015,52.07,0.072
30,1,1,4189,0.012,0.882,7,2132,0.011,49.65,0.21
30,1,3,2238,0.012,0.968,5,1958,0.012,48.44,1.39
30,1,2,1697,0.015,0.887,6,505,0.013,51.6,0.082
30,1,2,2001,0.012,0.883,4,2011,0.011,51.85,0.18
30,1,1,2737,0.013,0.988,5,780,0.013,46.37,0.843
30,1,2,1203,0.018,0.954,6,1274,0.018,51.7,0.319
30,1,3,4893,0.011,0.894,4,344,0.01,56.06,0.107
30,1,3,3702,0.016,0.956,3,1790,0.016,46.37,0.75
30,1,3,1566,0.018,0.963,6,2477,0.018,47.91,1.485
30,1,2,3382,0.013,0.949,5,555,0.012,48.5,0.195
30,1,3,3502,0.012,0.879,5,218,0.011,58.07,0.069
30,1,2,3118,0.013,0.971,4,1041,0.013,48.66,0.443
30,1,2,1861,0.012,0.891,5,1771,0.011,47.91,0.169
30,1,1,1634,0.011,0.856,6,2113,0.01,52.1,0.156
30,1,3,2515,0.019,0.963,5,341,0.019,49.76,0.216
30,1,3,3944,0.019,0.858,6,2476,0.019,47.36,0.438
30,1,2,4147,0.012,0.926,3,1577,0.012,48.84,0.229
30,1,3,2864,0.02,0.883,6,2283,0.019,47.6,0.455
30,1,3,2660,0.01,0.953,6,1708,0.01,47.43,0.902
30,1,3,3573,0.017,0.917,5,676,0.016,52.4,0.196
30,1,3,3554,0.016,0.991,5,313,0.016,46.37,1.067
30,1,2,4189,0.016,0.977,7,1328,0.016,48.67,0.795
30,1,2,2190,0.015,0.982,6,2197,0.015,48.03,1.264
30,1,1,3754,0.012,0.909,7,2460,0.012,52.48,0.271
30,1,1,4896,0.013,0.953,5,2119,0.013,47.02,0.556
30,1,2,3466,0.014,0.918,7,410,0.013,54.51,0.109
30,1,1,4778,0.014,0.899,6,1472,0.014,51.75,0.158
30,1,1,3843,0.02,0.971,4,367,0.02,57.29,0.249
30,1,1,1124,0.015,0.855,7,2234,0.014,56.33,0.146
30,1,3,1939,0.016,0.872,7,1073,0.015,53.17,0.217
30,1,3,3980,0.017,0.97,7,615,0.017,50.22,0.535
30,1,1,3279,0.019,0.948,6,2290,0.019,48.08,0.403
30,1,2,2840,0.02,0.998,5,367,0.02,48.08,2.615
30,1,3,4941,0.013,0.967,4,2337,0.013,46.37,1.449
30,1,2,1054,0.013,0.942,3,1852,0.012,47.53,0.299
30,1,2,1753,0.014,0.961,4,1753,0.013,47.53,0.453
30,1,2,3891,0.016,0.92,6,892,0.016,49.74,0.141
30,1,2,3503,0.014,0.959,3,1914,0.014,49.43,0.463
30,1,3,1281,0.016,0.975,6,687,0.016,51.43,0.659
30,1,3,4284,0.01,0.989,7,711,0.01,47.91,1.991
30,1,2,1091,0.019,0.943,3,1801,0.019,48.49,0.273
30,1,2,2429,0.019,0.987,7,303,0.019,51.74,0.554
30,1,2,4216,0.018,0.865,4,1286,0.016,48.44,0.111
30,1,3,3820,0.014,0.923,6,1628,0.013,47.93,0.523
30,1,2,4520,0.013,0.988,6,321,0.013,50.86,0.523
30,1,2,1958,0.017,0.87,3,1364,0.016,48.58,0.108
30,1,2,1495,0.016,0.97,5,1896,0.016,49.02,0.573
30,1,1,3431,0.012,0.918,5,276,0.012,62.52,0.075
30,1,3,4038,0.014,0.963,3,1722,0.014,48.28,0.863
30,1,2,4929,0.02,0.894,5,1966,0.02,50.52,0.23
30,1,1,2118,0.017,0.93,7,441,0.017,54.75,0.122
30,1,1,4893,0.013,0.863,3,170,0.011,62.1,0.077
30,1,2,4188,0.02,0.878,5,1698,0.018,49.67,0.16
30,1,3,4250,0.011,0.938,3,705,0.011,48.28,0.227
